,Name,Surname,Division,Manager,Gender,LGBTQ,Nationality,Ethnicity,Disability,Age,Mobile Number,Email,Avez-vous déjà été victime/témoin de harcèlement sexuel ?,Avez-vous déjà été victime/témoin de discrimination raciale ?,Avez-vous déjà été témoin ou victime de discrimination fondée sur le genre au travail ?,Avez-vous déjà été témoin ou victime de discrimination fondée sur l'âge au travail ?,Avez-vous déjà été témoin ou victime de discrimination fondée sur le genre ou l’orientation sexuelle ?,"Avez-vous déjà été témoin ou victime de discrimination fondée sur votre religion, culture ?",Avez-vous déjà été témoin ou victime de discrimination basée sur votre état de santé ou handicap au travail ?,Avez-vous déjà été témoin ou victime de discrimination basée sur votre parentalité ou future parentalité ?,Avez-vous déjà ressenti une situation de harcèlement moral ou psychologique au travail ?,Vous sentez-vous en mesure de signaler en toute sécurité des préoccupations concernant des comportements inappropriés au travail ?,"Dans le cas où vous avez déjà fait un signalement, comment jugez-vous le traitement de votre plainte ? (1 à 10, 10 étant totalement satisfait)",Estimez-vous que l'égalité est respectée au sein de votre entreprise ? (1 à 10),Dans quelle mesure diriez-vous que votre entreprise valorise la diversité et l'inclusion ? (1 à 10),"Vous sentez-vous apprécié pour le travail que vous accomplissez, indépendamment de votre identité sexuelle, de votre race, de votre handicap ou de votre nationalité ? (1 à 10)","Vous sentez-vous heureux au travail ? (1 à 10, 10 étant la meilleure note)","Vous sentez-vous en sécurité au travail ? (1 à 10, 10 étant la meilleure note)","Comment évaluez-vous votre niveau de stress au travail ? (1 à 10, où 10 représente le plus faible niveau de stress)","Comment évaluez-vous la qualité des relations avec vos collègues de travail ? (1 à 10, 10 étant la meilleure note)","Recommanderiez-vous l’entreprise à un proche ? (1 à 10, 10 tout à fait)",Vous sentez-vous respecté(e) et entendu(e) par vos collègues et votre hiérarchie ? (1 à 10),"Pensez-vous que votre entreprise valorise et promeut activement un environnement de travail inclusif ? (1 à 10, 10 tout à fait)","Pensez-vous que la direction et les managers de votre entreprise sont engagés et responsables en matière de diversité et d'inclusion ? (1 à 10, 10 tout à fait)","Selon vous, quelles mesures l'entreprise devrait-elle prendre pour mieux prévenir et gérer les discriminations ?",Votre entreprise propose-t-elle des formations régulières sur la diversité et l'inclusion pour tous les employés ?,L'entreprise dispose-t-elle de politiques claires et accessibles concernant la lutte contre la discrimination et le harcèlement ?,Avez-vous accès à une personne de contact ou à un service dédié pour signaler les incidents de discrimination ou de harcèlement ?,Salaire_Annuel,Pays,Continent,Moyenne_Toutes_Colonnes_Num
0,Deborah,Addison,IT,No,Transgender,Prefer not to say,Polish,White,Yes,29,363 436 1096,Deborah.Addison@mail.ca,Jamais,Souvent,Rarement,Jamais,Souvent,Jamais,Rarement,Rarement,Souvent,Jamais,8,3,7,8,5,9,6,3,10,4,8,7,Améliorer la transparence dans le traitement des signalements de discrimination.,Oui,Non,Oui,20158,Poland,Europe,6.5
1,Mona,Hill,Marketing,No,Male,No,Lao,White,No,59,905 980 9989,Mona.Hill@mail.ca,Jamais,Jamais,Souvent,Parfois,Parfois,Rarement,Rarement,Souvent,Parfois,Régulièrement,9,10,9,3,6,6,7,8,8,6,4,4,Mettre en place un programme de mentorat pour favoriser l'intégration et l'avancement des minorités.,Non,Non,Oui,61978,Laos,Asia,6.67
2,Kimberly,Shelton,Finance,No,Female,No,Canadian,White,No,43,788 356 1577,Kimberly.Shelton@mail.ca,Parfois,Jamais,Souvent,Régulièrement,Rarement,Jamais,Parfois,Jamais,Jamais,Rarement,9,4,6,1,10,9,8,9,6,8,8,9,Proposer des formations régulières sur la diversité et l'inclusion.,Oui,Oui,Oui,26363,Canada,North America,7.25
3,Denis,Robinson,HR,No,Male,No,Canadian,White,Yes,44,946 855 5822,Denis.Robinson@mail.ca,Parfois,Jamais,Jamais,Régulièrement,Jamais,Jamais,Rarement,Régulièrement,Rarement,Rarement,9,9,5,9,3,7,9,5,7,7,9,9,Renforcer la sensibilisation à la diversité par des événements culturels et des formations interculturelles.,Non,Non,Non,57336,Canada,North America,7.33
4,Carmen,Gunn,RD,No,Male,No,Korean,Asian,No,50,537 895 4532,Carmen.Gunn@mail.ca,Régulièrement,Rarement,Souvent,Parfois,Jamais,Jamais,Parfois,Parfois,Souvent,Rarement,3,5,9,6,9,7,9,8,2,8,9,9,Proposer des formations régulières sur la diversité et l'inclusion.,Non,Non,Non,29365,South Korea,Asia,7.0
5,Nathan,Furnell,Sales,No,Male,No,Canadian,Black,No,37,317 280 1655,Nathan.Furnell@mail.ca,Parfois,Régulièrement,Jamais,Souvent,Souvent,Souvent,Rarement,Rarement,Parfois,Rarement,8,8,8,5,2,7,8,8,7,5,8,9,Proposer des formations régulières sur la diversité et l'inclusion.,Non,Non,Non,25989,Canada,North America,6.92
6,Luke,Sinclair,Marketing,No,Male,Yes,English,White,No,34,500 192 9313,Luke.Sinclair@mail.ca,Parfois,Souvent,Souvent,Régulièrement,Rarement,Jamais,Parfois,Régulièrement,Rarement,Rarement,7,5,7,5,5,3,5,7,8,3,7,9,Renforcer la sensibilisation à la diversité par des événements culturels et des formations interculturelles.,Non,Non,Non,23827,United Kingdom,Europe,5.92
7,Fred,Callan,Sales,No,Male,No,Norwegian,White,No,27,531 698 4421,Fred.Callan@mail.ca,Souvent,Régulièrement,Rarement,Rarement,Rarement,Jamais,Rarement,Parfois,Souvent,Rarement,10,8,7,8,5,5,7,10,8,6,8,7,Créer un comité dédié à la diversité pour superviser les initiatives inclusives.,Non,Non,Non,73620,Norway,Europe,7.42
8,Carter,Owen,Finance,No,Male,No,Indian,Black,No,52,273 624 1755,Carter.Owen@mail.ca,Jamais,Souvent,Souvent,Parfois,Régulièrement,Rarement,Souvent,Parfois,Jamais,Jamais,6,6,4,9,3,5,2,8,7,7,5,7,Mettre en place un programme de mentorat pour favoriser l'intégration et l'avancement des minorités.,Non,Non,Oui,20156,India,Asia,5.75
9,Harry,Dobson,Sales,No,Male,No,Indian,Black,No,47,648 541 9503,Harry.Dobson@mail.ca,Rarement,Jamais,Rarement,Rarement,Rarement,Jamais,Rarement,Jamais,Jamais,Parfois,9,6,8,9,8,9,2,8,6,7,9,10,Mettre en place un programme de mentorat pour favoriser l'intégration et l'avancement des minorités.,Non,Non,Non,43849,India,Asia,7.58
